Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 2.Project Maximum Z_XY1644183044_Z0_T0_merged.tif:2,65.62,3692.315,1915,1643,15028,242288.447,3160,5409241,2,,1305.734,,,2386.581,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 3.Project Maximum Z_XY1644183123_Z0_T0_merged.tif:2,55.766,5358.567,3884,1638,27988,298823.258,4090,6671416,2,,1309.109,,,4049.458,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 4.Project Maximum Z_XY1644183223_Z0_T0_merged.tif:2,56.796,4137.335,3094,1500,36557,234982.94,3255,5246141,2,,1308.634,,,2828.701,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 4.Project Maximum Z_XY1644183223_Z0_T0_merged.tif:2,52.809,3140.93,2409,1568,16227,165870.205,2647,3703156,2,,1308.634,,,1832.296,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 5.Project Maximum Z_XY1644183306_Z0_T0_merged.tif:2,58.408,3912.423,3019,1510,17091,228517.679,3381,5101800,2,,1278.132,,,2634.291,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 5.Project Maximum Z_XY1644183306_Z0_T0_merged.tif:2,48.464,4656.805,2749,1572,24889,225689.673,3313,5038663,2,,1278.132,,,3378.673,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 6.Project Maximum Z_XY1644183380_Z0_T0_merged.tif:2,55.721,5320.185,3342,1623,35613,296444.556,3972,6618310,2,,1274.485,,,4045.7,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 6.Project Maximum Z_XY1644183380_Z0_T0_merged.tif:2,61.409,2640.457,2260,1474,10632,162148.518,2340,3620067,2,,1274.485,,,1365.972,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 7.Project Maximum Z_XY1644183604_Z0_T0_merged.tif:2,54.601,4294.669,3085,1631,18691,234492.92,3495,5235201,2,,1281.883,,,3012.786,,,,,,,,,,,,,,,,,,,,,,
20220206,PY12400,odr-10,Adult,NGM,20220206_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 7.Project Maximum Z_XY1644183604_Z0_T0_merged.tif:2,41.119,3524.58,2709,1703,17595,144926.021,2788,3235564,2,,1281.883,,,2242.697,,,,,,,,,,,,,,,,,,,,,,
