	X6665	X6666	X6667	X6668	X6669	X6670	X6671	X6672	X6673	X6674	X6675	X6676	D22_243	D22_244	D22_245	D22_246
F18C5.5	0	0	0	1884.91914292696	753.30607015003	406.235511159686	5.50899608019889	0	0	307.448184256276	1480.55757153385	576.390394011804	0.584085834567762	5325.09930408392	0	0
F18E3.11	199.523301993763	1022.48578493975	4742.02849152587	7186.30277276602	3871.48920235598	5100.38937135415	9022.35833034574	4455.46812338729	27.5064948801372	7341.60643321966	5747.67229362236	3272.91634795469	1968.36926249336	2312.41765775245	926.674246357326	5883.10157833478
F18E3.12	1.93711943683265	0	4057.71987867108	3208.7117589628	1778.18399410536	4001.94628388007	1067.36799053854	5150.66946025424	5781.86522380485	4157.80968069911	3011.4439073324	2449.29126578803	1744.66438785391	0	698.292305734125	4890.92917247891
F18E3.13	3.87423887366529	15811.4363336739	8.37074755785678	8274.77173807798	4317.99247550434	5417.95137393873	6186.60259806336	5156.84902769306	5633.33015145211	10153.0492736965	6668.24272859069	4576.78500096181	669.362366414656	2867.25681181836	2460.83834012871	0
F18E9.3	0	0	0	429.873401569869	183.494495814395	232.767960009643	0	3.08978371940866	0	1295.97949891361	99.3833825986575	515.562812005452	0	14284.7342110368	0	1.45693451667528
F18F11.1	389.361006803362	0	0	71.8397283563014	108.384082194369	99.7576971469897	1.37724902004972	0	0	149.880989824935	71.3521721221131	127.051159190687	0	0	1869.55229840813	0
F18G5.10	0	0	2.0926868894642	0	0	0	0	3.08978371940866	0	0	0	0	2.33634333827105	0.542629979526563	0	0.72846725833764
F18G5.6	0	3.22550720801182	1893.8816349651	60.1900426769012	40.6134484069194	59.3004088595995	0	0	0	141.340762484482	59.8848587453449	135.880969481932	0	0	0	0
F18H3.1	0	0	0	44.6571284377009	34.4969652131063	31.0357280012857	0	0	456.607815010278	35.0149320958537	24.8458456496644	36.3003311973391	601.024323770228	0.271314989763281	0	0
F19B10.1	790.34473022772	2267.53156723231	0	19.4161427990004	22.753317480985	20.5057488579923	0	0	0	30.7448184256276	15.9268241344002	21.5839807119314	0	0	0	0
F19B2.5	137.535480015118	0	634.084127507651	354.927090365727	337.629872298487	272.116829439844	4167.55553467046	0	0	509.424560857968	277.76381290394	478.281390775752	0	27.4028139660914	0	0
F19B2.6	0	0	0	31.8424741903606	10.0310324378536	44.8909637161454	0	0	10254.4212913152	93.9425007449732	36.3131590264326	96.637368187511	0	0	0	0
F19B6.1	0	0	1356.0611043728	615.880049584292	430.111098188942	293.176787726431	0	0	0	576.465345480517	474.619359205127	434.622884335709	0	0	5283.66358480611	1.09270088750646
F19C6.12	0	0	0	19.8044656549804	14.1902410096465	18.8431205722092	0	0	0	15.7994205798364	10.8302404113922	27.9610659222747	0	0	307.872308176123	0
F19C6.8	273.133840593403	0	0	53.5885541252411	30.8270752968184	47.1078014305229	369.102737373326	0	770.181856643843	26.4747047554015	14.6526782036482	18.6407106148498	0	0	0	0
F19C7.1	26087.1874558252	2290.11011768839	10766.8740462933	19086.0683714174	11568.4716534505	13807.019494572	29741.6925879738	9250.81245590953	28768.1261119729	18627.5168636271	16227.5225740577	14428.4005609099	5783.61793388998	11360.2299363784	3031.02886122947	0.36423362916882
F19C7.2	0	0	7728.29268279127	50.870294133381	106.182148244597	35.4694034300408	0	0	0	245.531536037998	144.615563140354	154.521680096781	0	0	0.305732182895852	0
F19C7.8	0	0	0	195.326396557944	193.770187580001	125.805540290926	0	0	0	184.468910553766	198.129692231939	154.031135080601	2.33634333827105	0	2808.1500998984	0
F19F10.11	1.93711943683265	3657.7251738854	0	254.351470666905	353.043409946896	212.26221115165	1.37724902004972	0	0	348.014264123424	210.234078574083	380.1723875397	0	0	0	0
F19F10.12	7674.86720873094	0	1037.97269717424	1880.2592686552	1293.0245471721	1071.84103490155	0	0	3.66753265068497	2464.70961045448	1643.64825067011	2366.38915805357	0	0	0	0
F19F10.3	0	3044.87880436315	0	172.027025199143	89.5453139574248	94.2156028610459	0	0	0	127.249387372736	107.02825818317	72.6006623946783	0	3465.50636424639	1389.55277126165	0.36423362916882
F19F10.9	1199.07693139941	83.8631874083072	12.5561213367852	3030.85989092396	2236.92023364135	1900.38413065015	1.37724902004972	19428.5600276417	5.50129897602745	3629.16960832512	2418.96604953271	4052.39237866512	1436.26706720213	520.382150365974	3751.0281519492	16705.5754018279
F19G12.10	1.93711943683265	0	0	130.088156753303	80.9822374860863	75.3724822888367	0	166.848320848068	0	150.308001191957	136.970687555842	182.973291035236	0	0	0	0
F19G12.9	0	0	0	70.6747597883614	40.6134484069194	45.4451731447398	0	0	0	90.953421175815	45.2321805416967	59.3559469578113	78.2675018320802	0	0	0
F19H8.2	282.819437777566	0	0	3171.8210876447	490.786611471569	200.623813151168	9070.56204604748	15.4489185970433	1.83376632534248	2454.46133764594	1203.43083159528	1810.11110970515	0	0	0	0
F20A1.1	920.131732495507	5180.16457606698	0	294.737047688826	360.872508434977	237.201635438398	765.750455147646	1313.15808074868	3029.38196946578	392.423446293774	392.436946671622	256.064498446095	426.382659234467	2052.49789755922	1436.9412596105	3941.00786760663
F20A1.10	331.247423698382	5154.36051840288	0	53.9768769812211	132.850014969622	92.5529745752627	0	2323.51735699531	2064.82088233564	94.3695121119958	79.6341206720012	72.6006623946783	0	3554.49768088875	206.674955637596	0
F20A1.4	0	0	0	11.6496856794002	39.6348110959093	10.5299791432934	0	0	14.6701306027399	11.1022955425877	2.54829186150404	0	0	0	2225.4245592989	0
F20B6.4	0	0	0	10.0963942554802	12.7222850431314	5.54209428594387	0	3018.71869386226	0	15.3724092128138	7.64487558451212	8.3392652750644	0	0	0	0
F20C5.6	0	0	108.819718252138	22.1344027908604	14.9242189929041	13.8552357148597	0	0	0	44.409182170351	19.7492619266563	32.8665160840773	1999.32581172545	0	0	0
F20D1.1	0	0	0	143.679456712603	100.310324378536	62.6256654311658	0	3.08978371940866	4175.48592280483	134.081569245098	145.25263610573	128.522794239228	297.883775629559	0	0	0
F20D1.21	0	0	0	0.388322855980008	0.244659327752527	0	0	0	0	1.70804546809042	0	1.47163504854078	0	0	3.05732182895852	0
F20D1.3	4809.86756165546	0	0	712.960763579294	537.027224416796	520.956862878724	0	6748.08764318852	1043.41303911987	857.011813614369	865.782159945997	826.568352263736	135.507913619721	0	4386.95109237257	0
F20D1.9	0	0	0	186.783293726384	149.486849256794	161.829153149561	0	1615.95688525073	0	278.411411298739	208.322859677955	177.086750841073	0	0	0	0
F20D12.2	17.4340749314938	151.598838776555	71.1513542417826	785.965460503536	753.30607015003	624.594026025875	4601.38897598612	3.08978371940866	0	825.839983821719	622.420287172362	976.675127214895	0	19.263364273193	62.0636331278579	0
F20D12.7	0	0	0	0.388322855980008	0.978637311010107	0	0	0	0	3.41609093618084	0	0.490545016180259	0	0	47.388488348857	0
F20D6.1	0	0	0	236.876942147805	137.743201524673	132.456053434059	0	0	0	73.4459551278882	152.260438724866	113.31589873764	0	21.9765141708258	0	0
F20D6.11	732.23114712274	0	0	301.726859096466	207.471109934143	275.996295440005	0	0	9.16883162671241	304.88611605414	196.855546301187	257.045588478456	0	0	25.6815033632515	52.0854089711412
