,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
aex-2,501.2722026,-10.09344695,2.450743549,-9.220109983,NA,NA
aex-3,95.02593579,0.335225474,2.401048217,0.139601357,0.888974969,0.993932324
aex-5,2119.513958,-0.051276028,1.596047412,-0.032117865,0.974378056,0.996962678
aex-6,249.9146661,2.446680275,2.400878502,1.02060862,0.307439904,0.717148845
aexr-1,2.408392614,3.435098001,2.46757834,1.39661992,NA,NA
aexr-2,4.361140073,4.571407891,2.467324314,1.898375156,NA,NA
afd-1,189.6062373,3.136951687,2.175450359,1.44369274,NA,NA
afmd-2,3.910801761,-4.225270369,2.463600708,-1.728356471,NA,NA
age-1,292.9970042,-0.2366574,2.400413737,-0.098587749,NA,NA
agef-1,1740.106822,-0.16725012,2.373965299,-0.070436904,0.943845919,0.996269782
agl-1,385.7174372,-6.956718947,2.410018506,-2.925202357,NA,NA
agmo-1,90.10116352,-7.276432448,2.444340212,-3.155705151,NA,NA
agr-1,535.5303956,-1.144240527,2.400307607,-0.47686593,NA,NA
ags-3,1399.119929,3.330128213,2.018571616,1.651032704,0.098731897,0.31974302
agt-1,41.28965355,-7.245367855,2.456241511,-8.088598835,NA,NA
agxt-1,509.9109803,1.745859154,2.400378257,0.727933485,NA,NA
aha-1,14.22225044,-6.025920964,2.459632056,-2.535617577,0.011224924,0.052029577
ahcy-1,10874.86866,0.416562821,1.465604262,0.284236497,0.776229147,0.988447238
ahsa-1,913.905406,-2.906516848,2.400372006,-1.213713456,0.224857164,0.58154758
ain-2,1888.822029,7.815833906,2.045175036,3.83581657,0.000125148,0.001040954
aip-1,158.1828959,-6.086563542,2.412850835,-2.547791801,NA,NA
aipl-1,570.1494743,-10.23339297,2.450199868,-9.277776466,NA,NA
air-1,208.4187715,-9.053922855,2.36963739,-3.833150903,0.000126512,0.001050079
ajm-1,1295.619396,-0.769288022,1.916482789,-0.401407967,0.688119784,0.982093975
aka-1,526.6561,4.489045834,2.135871466,2.106371588,NA,NA
akap-1,1010.861445,1.309424174,2.217469507,0.590659702,0.554748454,0.952973834
akir-1,148.2185718,8.597609733,2.454544097,8.405971187,NA,NA
akt-1,1191.854028,9.354578327,2.420028404,3.980674234,6.87E-05,0.00061597
aldo-1,4173.583907,0.616437928,1.869041519,0.329832192,0.741526761,0.988447238
aldo-2,17976.30263,1.163857316,1.340751948,0.86807764,0.385351831,0.811547644
alfa-1,1563.278487,10.35766907,2.43119181,4.502473198,NA,NA
alg-1,632.7534113,10.26558504,2.452209664,9.076232168,NA,NA
alg-2,766.0765182,-8.769265439,2.418641959,-3.682817338,NA,NA
alg-3,0.792803842,1.754862365,2.380787811,0.773684259,0.439117531,NA
alg-4,175.989064,-1.473358891,2.400767626,-0.614129387,NA,NA
algn-1,310.1885547,-9.561562072,2.45238216,-8.555225313,1.18E-17,2.54E-16
algn-11,990.4090741,6.510180849,2.403176108,2.742264584,NA,NA
algn-2,535.1562848,-10.16454636,2.450465893,-9.246612129,2.32E-20,2.22E-18
alh-1,981.4976505,-1.802965012,2.400249448,-0.751806537,0.45216741,0.875349731
alh-11,821.8787543,0.025012574,2.400221558,0.010428923,NA,NA
alh-12,1314.128534,-3.843871409,2.039701092,-1.886552981,0.059220476,0.217695296
alh-13,314.446312,-0.721830236,2.400410421,-0.300739248,NA,NA
alh-3,534.6118114,4.523448785,2.401476242,1.89464078,NA,NA
alh-4,551.5977738,3.296441777,2.400692444,1.377173677,0.168458558,0.470724768
alh-6,16.96993754,-4.758084667,2.415618871,-2.07493119,0.037992913,0.150422578
alh-7,32.78867821,-6.985946026,2.456840343,-7.983791181,NA,NA
alh-8,4535.243629,0.388222695,2.016926477,0.192498058,0.847352089,0.991411913
alh-9,582.1844796,-0.235555431,2.319988784,-0.101520463,0.919137314,0.995457406
alp-1,135.3658409,6.32165002,2.419090634,2.636100954,NA,NA
